STT,url,id,title_cleaned,rating,initial_price,final_price,currency,Sold,Status,image,seller_chats_responded_percentage,seller_chat_time_reply,seller_joined_date,variations,domain,brand,category_id,flash_sale,flash_sale_time,product_variation,vouchers
382,https://shopee.sg/Oral-B-iO-Series-9-Electric-Toothbrush-with-Micro-Vibration-Bluetooth-AI-3D-Teeth-Tracking-Interactive-Color-Display-iO9-i.20175892.11821464825,11821464825,oralb io series 9 electric toothbrush with micro vibration bluetooth ai 3d teeth tracking interactive color display io9,4.9,517.3,317.5,USD,363,Available in stock,"[""https://down-sg.img.susercontent.com/file/sg-11134207-7rdwn-lykkozv0i73677_tn"",""https://down-sg.img.susercontent.com/file/db72af8312af01c0479f9ff320de6113_tn"",""https://down-sg.img.susercontent.com/file/b89054f0e1babd8ff11669ea64a7b70d_tn"",""https://down-sg.img.susercontent.com/file/f8015db2c22dc19c8476da310c3029eb_tn"",""https://down-sg.img.susercontent.com/file/66f8b5eec42ac688abce397ff74a659a_tn"",""https://down-sg.img.susercontent.com/file/b1becb227cb06288f5dc7e5e2dce32c3_tn"",""https://down-sg.img.susercontent.com/file/d3c547551d89c96fcf1bb61a40e866f8_tn"",""https://down-sg.img.susercontent.com/file/9619f40c3ba6e69fc2189194a3c218cd_tn"",""https://down-sg.img.susercontent.com/file/60e4a27412adb90d0a40ad98cd7a304b_tn""]",75,3.98 hours,NaT,"[{""variations"":[null]}]",https://shopee.sg,Oral-B,100001,False,,"[{""name"":""model"",""value"":null}]","[{""claimable"":false,""currency"":""SGD"",""discount"":39,""discount_cap"":0,""discount_percentage"":0,""min_spend"":39000000,""shop_vouncher"":""Braun Official Store"",""special_condition"":null,""text_info"":""BRAU39390"",""validity_end"":""2024-09-30T15:59:00.000Z"",""validity_start"":""2024-09-03T17:59:00.000Z""},{""claimable"":false,""currency"":""SGD"",""discount"":29,""discount_cap"":0,""discount_percentage"":0,""min_spend"":29000000,""shop_vouncher"":""Braun Official Store"",""special_condition"":null,""text_info"":""BRAU29290"",""validity_end"":""2024-09-30T15:59:00.000Z"",""validity_start"":""2024-09-03T17:59:00.000Z""},{""claimable"":false,""currency"":""SGD"",""discount"":19,""discount_cap"":0,""discount_percentage"":0,""min_spend"":19000000,""shop_vouncher"":""Braun Official Store"",""special_condition"":null,""text_info"":""BRAU19190"",""validity_end"":""2024-09-30T15:59:00.000Z"",""validity_start"":""2024-09-03T17:59:00.000Z""},{""claimable"":false,""currency"":""SGD"",""discount"":12,""discount_cap"":0,""discount_percentage"":0,""min_spend"":10000000,""shop_vouncher"":""Braun Official Store"",""special_condition"":null,""text_info"":""BRAUSEPCS"",""validity_end"":""2024-09-30T15:59:59.000Z"",""validity_start"":""2024-08-31T16:00:00.000Z""},{""claimable"":false,""currency"":""SGD"",""discount"":9,""discount_cap"":0,""discount_percentage"":0,""min_spend"":9000000,""shop_vouncher"":""Braun Official Store"",""special_condition"":null,""text_info"":""BRAU09090"",""validity_end"":""2024-09-30T15:59:00.000Z"",""validity_start"":""2024-09-03T17:58:00.000Z""},{""claimable"":false,""currency"":""SGD"",""discount"":5,""discount_cap"":0,""discount_percentage"":0,""min_spend"":5000000,""shop_vouncher"":""Braun Official Store"",""special_condition"":null,""text_info"":""BRAU05050"",""validity_end"":""2024-09-30T15:59:00.000Z"",""validity_start"":""2024-09-03T18:00:00.000Z""}]"
964,https://shopee.com.my/[Bundle-of-4]-Blood-Sanitary-Pad-%E5%8D%AB%E7%94%9F%E6%A3%89-Made-With-100%-Corn-i.166883742.28005508734?model_id=178310748390,28005508734,bundle of 4 blood sanitary pad made with 100 corn,5.0,13.4,10.7,USD,11487,Available in stock,"[""https://down-my.img.susercontent.com/file/my-11134207-7r98p-lxupgfgxnypc93_tn"",""https://down-my.img.susercontent.com/file/my-11134207-7r990-lxtb5472m5bed4_tn"",""https://down-my.img.susercontent.com/file/my-11134207-7r98t-lxtb5dfr3b6yb8_tn""]",100,0.05 hours,NaT,"[{""name"":""Pack 1-2"",""variations"":[""PAD-25 x2"",""PAD-29 x2"",""PAD-33 x2"",""PAD-41 x2""]},{""name"":""Pack 3-4"",""variations"":[""PAD- 25 x2"",""PAD- 29 x2"",""PAD- 33 x2"",""PAD- 41 x2""]}]",https://shopee.com.my,Blood,100001,False,,"[{""name"":""model"",""value"":""PAD-25 x2,PAD- 29 x2""}]","[{""claimable"":false,""currency"":""MYR"",""discount"":10,""discount_cap"":0,""discount_percentage"":0,""min_spend"":5000000,""shop_vouncher"":""Blood Official Store"",""special_condition"":null,""text_info"":""SVC-964351056826416"",""validity_end"":""2024-09-24T15:59:59.000Z"",""validity_start"":""2024-09-09T16:00:00.000Z""}]"
242,https://shopee.cl/Earplug-for-Sleeping-Dust-proof-Silicone-Earplugs-for-Noise-Cancelling-and-Sleep-Durable-Washable-Ear-Plugs-for-Home-Office-Use-i.497944649.16399611463?model_id=217174775521,16399611463,earplug for sleeping dustproof silicone earplugs for noise cancelling and sleep durable washable ear plugs for home office use,4.6,7.5,7.5,USD,39996,Available in stock,"[""https://down-cl.img.susercontent.com/file/sg-11134201-7rbmi-lolfu822n4o0ec_tn"",""https://down-cl.img.susercontent.com/file/sg-11134201-7rble-loliwvedjkfz09_tn"",""https://down-cl.img.susercontent.com/file/sg-11134201-7rblu-lolfu7nnb27w54_tn"",""https://down-cl.img.susercontent.com/file/sg-11134201-7rbl0-lolfu9iiie000d_tn"",""https://down-cl.img.susercontent.com/file/sg-11134201-7rbn5-lolfukw1v2w03f_tn"",""https://down-cl.img.susercontent.com/file/sg-11134201-7rbm5-lolfu992w6zg8b_tn"",""https://down-cl.img.susercontent.com/file/sg-11134201-7rbn3-lolfu822n4fe97_tn"",""https://down-cl.img.susercontent.com/file/sg-11134201-7rbnj-lolh5mrj308s0d_tn"",""https://down-cl.img.susercontent.com/file/sg-11134201-7rblz-lolfubt75ea2df_tn""]",57,,NaT,"[{""name"":""color"",""variations"":[""Black"",""White"",""Red"",""Green""]}]",https://shopee.cl,,100001,False,,"[{""name"":""model"",""value"":""Black""}]","[{""claimable"":false,""currency"":""CLP"",""discount"":null,""discount_cap"":100000000,""discount_percentage"":5,""min_spend"":100000000,""shop_vouncher"":""skystar1.cl"",""special_condition"":null,""text_info"":""SKYSFVR0M"",""validity_end"":""2024-11-23T16:31:06.000Z"",""validity_start"":""2024-08-23T16:41:06.000Z""},{""claimable"":false,""currency"":""CLP"",""discount"":300,""discount_cap"":0,""discount_percentage"":0,""min_spend"":850000000,""shop_vouncher"":""skystar1.cl"",""special_condition"":null,""text_info"":""SKYSMEFBX"",""validity_end"":""2024-11-23T16:31:03.000Z"",""validity_start"":""2024-08-23T16:41:03.000Z""},{""claimable"":false,""currency"":""CLP"",""discount"":700,""discount_cap"":0,""discount_percentage"":0,""min_spend"":1400000000,""shop_vouncher"":""skystar1.cl"",""special_condition"":null,""text_info"":""SKYS1BR43"",""validity_end"":""2024-11-23T16:31:04.000Z"",""validity_start"":""2024-08-23T16:41:04.000Z""},{""claimable"":false,""currency"":""CLP"",""discount"":1100,""discount_cap"":0,""discount_percentage"":0,""min_spend"":2100000000,""shop_vouncher"":""skystar1.cl"",""special_condition"":null,""text_info"":""SKYSHD1YB"",""validity_end"":""2024-11-23T16:31:05.000Z"",""validity_start"":""2024-08-23T16:41:05.000Z""}]"
540,https://shopee.ph/Omilay-TOKYO-Apple-Cider-Vinegar-Gummies-Slimming-Vitamin-B9-B12-Nutrition-Gummy-Food-Supplements-i.893581349.19786204500?model_id=127770554813,19786204500,omilay tokyo apple cider vinegar gummies slimming vitamin b9 b12 nutrition gummy food supplements,4.8,53.1,53.1,USD,34480151,Available in stock,"[""https://down-ph.img.susercontent.com/file/ph-11134207-7r98p-lnwjsxby7r6xad_tn"",""https://down-ph.img.susercontent.com/file/ph-11134207-7r98z-lnwjsxby6cmhec_tn"",""https://down-ph.img.susercontent.com/file/ph-11134207-7r98t-lnwjsxboayl6d9_tn"",""https://down-ph.img.susercontent.com/file/ph-11134207-7r98u-lnwjsxbo9k0qd2_tn"",""https://down-ph.img.susercontent.com/file/ph-11134207-7r98y-lnwjsxbof6ai5d_tn"",""https://down-ph.img.susercontent.com/file/ph-11134207-7r98s-lnwjsxby24x549_tn"",""https://down-ph.img.susercontent.com/file/ph-11134207-7r98v-lnwjsxbodrq20f_tn"",""https://down-ph.img.susercontent.com/file/ph-11134207-7r98o-lnwjsxby3jhlef_tn"",""https://down-ph.img.susercontent.com/file/ph-11134207-7r98s-lnwjsxby95rd94_tn""]",100,0.82 hours,NaT,"[{""name"":""Flavor"",""variations"":[""Apple Cider Vinegar"",""Glutathione Gummies"",""Biotin Gummies"",""Ashwagandha Gummies"",""Surprise Blind Box""]}]",https://shopee.ph,Omilay,100001,False,,"[{""name"":""model"",""value"":""Biotin Gummies""}]","[{""claimable"":false,""currency"":""PHP"",""discount"":null,""discount_cap"":40000000,""discount_percentage"":20,""min_spend"":80000000,""shop_vouncher"":""Omilay Official Store"",""special_condition"":null,""text_info"":""SVC-961217366351933"",""validity_end"":""2024-09-05T15:59:00.000Z"",""validity_start"":""2024-08-29T16:00:00.000Z""},{""claimable"":false,""currency"":""PHP"",""discount"":null,""discount_cap"":40000000,""discount_percentage"":20,""min_spend"":150000000,""shop_vouncher"":""Omilay Official Store"",""special_condition"":null,""text_info"":""SVC-961217365958737"",""validity_end"":""2024-09-05T15:59:00.000Z"",""validity_start"":""2024-08-29T16:00:00.000Z""},{""claimable"":false,""currency"":""PHP"",""discount"":null,""discount_cap"":40000000,""discount_percentage"":20,""min_spend"":200000000,""shop_vouncher"":""Omilay Official Store"",""special_condition"":null,""text_info"":""SVC-961217365565525"",""validity_end"":""2024-09-05T15:59:00.000Z"",""validity_start"":""2024-08-29T16:00:00.000Z""},{""claimable"":false,""currency"":""PHP"",""discount"":130,""discount_cap"":0,""discount_percentage"":0,""min_spend"":119000000,""shop_vouncher"":""Omilay Official Store"",""special_condition"":null,""text_info"":""OMILMWC"",""validity_end"":""2024-11-28T15:59:00.000Z"",""validity_start"":""2024-08-27T15:59:00.000Z""},{""claimable"":false,""currency"":""PHP"",""discount"":130,""discount_cap"":0,""discount_percentage"":0,""min_spend"":119000000,""shop_vouncher"":""Omilay Official Store"",""special_condition"":null,""text_info"":""OMILBST"",""validity_end"":""2024-11-28T15:59:00.000Z"",""validity_start"":""2024-08-27T15:59:00.000Z""},{""claimable"":false,""currency"":""PHP"",""discount"":70,""discount_cap"":0,""discount_percentage"":0,""min_spend"":50000000,""shop_vouncher"":""Omilay Official Store"",""special_condition"":null,""text_info"":""OMILQAT"",""validity_end"":""2024-11-25T15:59:00.000Z"",""validity_start"":""2024-08-24T15:59:00.000Z""},{""claimable"":false,""currency"":""PHP"",""discount"":70,""discount_cap"":0,""discount_percentage"":0,""min_spend"":140000000,""shop_vouncher"":""Omilay Official Store"",""special_condition"":null,""text_info"":""SVC-961217374740793"",""validity_end"":""2024-09-05T15:59:00.000Z"",""validity_start"":""2024-08-29T16:00:00.000Z""},{""claimable"":false,""currency"":""PHP"",""discount"":50,""discount_cap"":0,""discount_percentage"":0,""min_spend"":49900000,""shop_vouncher"":""Omilay Official Store"",""special_condition"":null,""text_info"":""OMILBDF"",""validity_end"":""2024-11-25T15:59:00.000Z"",""validity_start"":""2024-08-24T15:59:00.000Z""},{""claimable"":false,""currency"":""PHP"",""discount"":25,""discount_cap"":0,""discount_percentage"":0,""min_spend"":50000000,""shop_vouncher"":""Omilay Official Store"",""special_condition"":null,""text_info"":""SVC-961217374740541"",""validity_end"":""2024-09-05T15:59:00.000Z"",""validity_start"":""2024-08-29T16:00:00.000Z""},{""claimable"":false,""currency"":""PHP"",""discount"":5,""discount_cap"":0,""discount_percentage"":0,""min_spend"":0,""shop_vouncher"":""Omilay Official Store"",""special_condition"":null,""text_info"":""SVC-961217357570193"",""validity_end"":""2024-09-05T15:59:00.000Z"",""validity_start"":""2024-08-29T16:00:00.000Z""},{""claimable"":false,""currency"":""PHP"",""discount"":5,""discount_cap"":0,""discount_percentage"":0,""min_spend"":10000000,""shop_vouncher"":""Omilay Official Store"",""special_condition"":null,""text_info"":""SVC-948535550435369"",""validity_end"":""2024-09-04T15:59:00.000Z"",""validity_start"":""2024-08-04T16:00:00.000Z""},{""claimable"":false,""currency"":""PHP"",""discount"":5,""discount_cap"":0,""discount_percentage"":0,""min_spend"":29900000,""shop_vouncher"":""Omilay Official Store"",""special_condition"":null,""text_info"":""OMILCEY"",""validity_end"":""2024-11-28T15:59:00.000Z"",""validity_start"":""2024-08-27T15:59:00.000Z""},{""claimable"":false,""currency"":""PHP"",""discount"":520,""discount_cap"":0,""discount_percentage"":0,""min_spend"":476900000,""shop_vouncher"":""Omilay Official Store"",""special_condition"":null,""text_info"":""OMILGRW"",""validity_end"":""2024-10-21T15:59:00.000Z"",""validity_start"":""2024-07-20T03:52:00.000Z""}]"
660,https://shopee.co.id/POWERMAN-OBAT-KUAT-PRIA-TAHAN-LAMA-HERBAL-KAPSUL-OBAT-KUAT-PRIA-PERKASA-PENAMBAH-STAMINA-BPOM-i.968601018.27700989315,27700989315,powerman obat kuat pria tahan lama herbal kapsul obat kuat pria perkasa penambah stamina bpom,4.8,7.8,7.8,USD,3420,Available in stock,"[""https://down-id.img.susercontent.com/file/id-11134207-7r98o-lw97ljm0dblp59_tn"",""https://down-id.img.susercontent.com/file/id-11134207-7r98x-lw97s6fikn6j88_tn"",""https://down-id.img.susercontent.com/file/id-11134207-7r98o-lw97s6fiknq60a_tn"",""https://down-id.img.susercontent.com/file/id-11134207-7r98u-lw97s6fiknji04_tn"",""https://down-id.img.susercontent.com/file/id-11134207-7r98u-lw97ljm0eq6513_tn"",""https://down-id.img.susercontent.com/file/id-11134207-7r98y-lvr5z0s4hzp8dd_tn"",""https://down-id.img.susercontent.com/file/id-11134207-7r98q-lvr5z0s4je9o65_tn"",""https://down-id.img.susercontent.com/file/id-11134207-7r991-lvr5z0s4ksu49e_tn"",""https://down-id.img.susercontent.com/file/id-11134207-7r98u-lw97ljm0g4ql0e_tn""]",99,1.43 hours,NaT,"[{""variations"":[null]}]",https://shopee.co.id,Power Man,100001,False,,"[{""name"":""model"",""value"":null}]","[{""claimable"":false,""currency"":""IDR"",""discount"":19750,""discount_cap"":0,""discount_percentage"":0,""min_spend"":5000000000,""shop_vouncher"":""LicengStoree"",""special_condition"":null,""text_info"":""LICEKU8SU"",""validity_end"":""2024-10-02T15:55:00.000Z"",""validity_start"":""2024-07-07T16:59:00.000Z""},{""claimable"":false,""currency"":""IDR"",""discount"":35000,""discount_cap"":0,""discount_percentage"":0,""min_spend"":30000000000,""shop_vouncher"":""LicengStoree"",""special_condition"":null,""text_info"":""LICE35W8"",""validity_end"":""2024-10-09T21:14:00.000Z"",""validity_start"":""2024-07-21T20:06:00.000Z""}]"
611,"https://shopee.co.th/%E0%B8%99%E0%B8%B9-%E0%B8%AA%E0%B8%81%E0%B8%B4%E0%B8%99-%E0%B8%AD%E0%B8%B8%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%93%E0%B9%8C%E0%B8%AB%E0%B8%B1%E0%B8%A7%E0%B8%AA%E0%B8%B1%E0%B8%A1%E0%B8%9C%E0%B8%B1%E0%B8%AA-%E0%B9%80%E0%B8%AD%E0%B8%88%E0%B8%A5%E0%B9%87%E0%B8%AD%E0%B8%84-%E0%B8%A5%E0%B8%B9%E0%B8%A1%E0%B8%B4%E0%B8%AA%E0%B8%9B%E0%B8%B2-%E0%B9%84%E0%B8%AD%E0%B9%82%E0%B8%AD-%E0%B9%81%E0%B8%9A%E0%B8%9A%E0%B9%80%E0%B8%88%E0%B8%99%E0%B9%80%E0%B8%97%E0%B8%B4%E0%B8%A5,-Nu-Skin-ageLOC-LumiSpa-iO-Head---Gentle-i.376369546.6979455090",6979455090,nu skin ageloc lumispa io head gentle,4.8,36,36.0,USD,20,Available in stock,"[""https://down-th.img.susercontent.com/file/sg-11134201-22110-oz0jzm7o67jv5c_tn"",""https://down-th.img.susercontent.com/file/sg-11134201-22110-8ra5ao0o67jv56_tn"",""https://down-th.img.susercontent.com/file/sg-11134201-22110-1so15hcp67jv20_tn"",""https://down-th.img.susercontent.com/file/sg-11134201-22110-eqqx6zrd77jvbb_tn""]",50,2.41 hours,NaT,"[{""name"":""LumiSpa iO"",""variations"":[""Head - Gentle""]}]",https://shopee.co.th,Nu Skin,100001,False,,"[{""name"":""model"",""value"":""Head - Gentle""}]",
890,https://shopee.com.mx/Estimulaci%C3%B3n-Del-Punto-G-Satisfecho-Pro-2-Vibraci%C3%B3n-satisfaller-i.469147377.16279954449,16279954449,estimulacin del punto g satisfecho pro 2 vibracin satisfaller,0.0,60.3,60.3,USD,1176,Available in stock,"[""https://down-mx.img.susercontent.com/file/4432859ccb5cc0e1b87a98fbd76a0c84_tn"",""https://down-mx.img.susercontent.com/file/e0a89f08104fa3daa323e85e9572b771_tn"",""https://down-mx.img.susercontent.com/file/f864e94d1f604c167fdf85d04978dd79_tn"",""https://down-mx.img.susercontent.com/file/d8813af56b76db6246b584c4c6262534_tn"",""https://down-mx.img.susercontent.com/file/a6c342c0c9474725df2bce77954224d3_tn""]",50,3.66 hours,NaT,"[{""name"":""Color"",""variations"":[""pro 2""]}]",https://shopee.com.mx,,100001,False,,"[{""name"":""model"",""value"":""pro 2""}]",
549,https://shopee.co.id/Pepsodent-Sikat-Gigi-Silver-Charcoal-1-pc-Twin-Pack-i.14318452.988499101,988499101,pepsodent sikat gigi silver charcoal 1 pc twin pack,4.9,1.9,1.9,USD,Pepsodent,Available in stock,"[""https://down-id.img.susercontent.com/file/9aa29b545ea19d9d3ca5016b77a5e05f_tn"",""https://down-id.img.susercontent.com/file/04d58955845710e865ae403d15e3bd00_tn"",""https://down-id.img.susercontent.com/file/004b8e621b71994ae76f65bb6f8633bf_tn""]",100,1.16 hours,NaT,"[{""variations"":[null]}]",https://shopee.co.id,Pepsodent,100001,False,,"[{""name"":""model"",""value"":null}]","[{""claimable"":false,""currency"":""IDR"",""discount"":10000,""discount_cap"":0,""discount_percentage"":0,""min_spend"":10000000000,""shop_vouncher"":""Unilever Indonesia Official Shop"",""special_condition"":null,""text_info"":""UOSSEP4"",""validity_end"":""2024-09-08T16:59:00.000Z"",""validity_start"":""2024-09-01T17:00:00.000Z""},{""claimable"":false,""currency"":""IDR"",""discount"":30000,""discount_cap"":0,""discount_percentage"":0,""min_spend"":28500000000,""shop_vouncher"":""Unilever Indonesia Official Shop"",""special_condition"":null,""text_info"":""UOSSEP6"",""validity_end"":""2024-09-08T16:59:00.000Z"",""validity_start"":""2024-09-01T17:00:00.000Z""}]"
813,https://shopee.co.th/Hyperice-Normatec-3-Full-Body-(Leg-+-Hip-+-Arm)-%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A8%E0%B8%B9%E0%B8%99%E0%B8%A2%E0%B9%8C%E0%B9%84%E0%B8%97%E0%B8%A2-By-Aquapro-i.365220271.23876938076,23876938076,hyperice normatec 3 full body leg hip arm by aquapro,0.0,"1,815.60",1815.6,USD,10,Available in stock,"[""https://down-th.img.susercontent.com/file/th-11134207-7qul1-lkhukf6xrczf25_tn"",""https://down-th.img.susercontent.com/file/th-11134207-7qukz-lkhukf6xpyez3f_tn"",""https://down-th.img.susercontent.com/file/th-11134207-7qul5-lkhukf6xu64b15_tn"",""https://down-th.img.susercontent.com/file/th-11134207-7qukx-lkhukf6xvkor50_tn"",""https://down-th.img.susercontent.com/file/th-11134207-7qukz-lkhv0voq0hobc7_tn"",""https://down-th.img.susercontent.com/file/th-11134207-7qul9-lkhv0voq1w8r4e_tn"",""https://down-th.img.susercontent.com/file/th-11134207-7qukw-lkhv0voq3at7f4_tn"",""https://down-th.img.susercontent.com/file/th-11134207-7qukw-lkhv0voq4pdnc9_tn"",""https://down-th.img.susercontent.com/file/th-11134207-7qul7-lkhv0voq7iijb0_tn""]",92,1.72 hours,NaT,"[{""variations"":[null]}]",https://shopee.co.th,Hyperice(ไฮเปอร์ไรซ์),100001,False,,"[{""name"":""model"",""value"":null}]",
118,https://shopee.cl/CURAPROX-Cepillo-De-Dientes-CS-5460-ORTHO-Brackets-i.1124167163.25515506987,25515506987,curaprox cepillo de dientes cs 5460 ortho brackets,4.8,9.9,9.9,USD,10,Available in stock,"[""https://down-cl.img.susercontent.com/file/my-11134207-7r98p-ls8m2dmpxjp311_tn"",""https://down-cl.img.susercontent.com/file/my-11134207-7r992-ls8m2dmpqiuvcf_tn"",""https://down-cl.img.susercontent.com/file/my-11134207-7r98r-ls8m2dmprxfbfd_tn"",""https://down-cl.img.susercontent.com/file/my-11134207-7r98u-ls8m2dmptbzr46_tn"",""https://down-cl.img.susercontent.com/file/my-11134207-7r98z-ls8m2dmpuqk7f3_tn"",""https://down-cl.img.susercontent.com/file/my-11134207-7r990-ls8m2dmpw54n66_tn"",""https://down-cl.img.susercontent.com/file/my-11134207-7r991-ls8m2dmpyy9j61_tn"",""https://down-cl.img.susercontent.com/file/my-11134207-7r98z-ls8m2dmzlwjbdf_tn"",""https://down-cl.img.susercontent.com/file/my-11134207-7r98r-ls8m2dmznb3rd7_tn""]",57,,NaT,"[{""variations"":[null]}]",https://shopee.cl,Curaprox,100001,False,,"[{""name"":""model"",""value"":null}]",
